QAN,QualificationTitle,AwardingOrganisation,QualificationLevel,QualificationType,SSA,OfferedInEngland,FundedInEngland,GLH,TQT,Pre16,Age16To18,Age18Plus,Age19Plus,FundingStreamName,FundingApprovalStartDate,ProposedOutcome,RolloverStatus,ExclusionReason,OperationalEndDate,PLDNS,CurrentFundingApprovalEndDate,ProposedFundingApprovalEndDate,Comments
60365535,Gateway Qualifications Level 1 Award in Building and Construction,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Building and construction,True,True,60,60,True,True,True,True,Age1619,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365535,Gateway Qualifications Level 1 Award in Building and Construction,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Building and construction,True,True,60,60,True,True,True,True,LocalFlexibilities,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365547,Gateway Qualifications Level 1 Certificate in Building and Construction,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Building and construction,True,True,235,250,True,True,True,True,Age1416,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365547,Gateway Qualifications Level 1 Certificate in Building and Construction,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Building and construction,True,True,235,250,True,True,True,True,Age1619,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365547,Gateway Qualifications Level 1 Certificate in Building and Construction,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Building and construction,True,True,235,250,True,True,True,True,LocalFlexibilities,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365559,Gateway Qualifications Level 1 Diploma in Building and Construction,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Building and construction,True,True,335,370,True,True,True,True,LocalFlexibilities,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365559,Gateway Qualifications Level 1 Diploma in Building and Construction,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Building and construction,True,True,335,370,True,True,True,True,Age1619,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365559,Gateway Qualifications Level 1 Diploma in Building and Construction,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Building and construction,True,True,335,370,True,True,True,True,Age1416,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365584,ATHE Level 3 Diploma in Accounting ,ATHE Ltd,Level 3,Vocationally-Related Qualification,Accounting and finance,True,True,300,600,False,True,True,True,Age1619,2020/08/28,Extended,Extended,,,2027/07/31,2027/07/31,2027/07/31,
60365584,ATHE Level 3 Diploma in Accounting ,ATHE Ltd,Level 3,Vocationally-Related Qualification,Accounting and finance,True,True,300,600,False,True,True,True,LegalEntitlementL2L3,2026/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365584,ATHE Level 3 Diploma in Accounting ,ATHE Ltd,Level 3,Vocationally-Related Qualification,Accounting and finance,True,True,300,600,False,True,True,True,AdvancedLearnerLoans,2020/08/28,Extended,Extended,,,2027/07/31,2027/07/31,2027/07/31,
60365596,ATHE Level 3 Diploma in Applied Statistics ,ATHE Ltd,Level 3,Vocationally-Related Qualification,Mathematics and statistics,True,True,360,600,False,True,True,True,Age1619,2020/08/28,Extended,Extended,,,,2027/07/31,2028/07/31,
60365614,Gateway Qualifications Level 2 Award in Creative Industries,Gateway Qualifications Limited,Level 2,Vocationally-Related Qualification,"Crafts, creative arts and design",True,True,45,60,True,True,True,True,LocalFlexibilities,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365614,Gateway Qualifications Level 2 Award in Creative Industries,Gateway Qualifications Limited,Level 2,Vocationally-Related Qualification,"Crafts, creative arts and design",True,True,45,60,True,True,True,True,Age1416,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
