QAN,QualificationTitle,AwardingOrganisation,QualificationLevel,QualificationType,SSA,OfferedInEngland,FundedInEngland,GLH,TQT,Pre16,Age16To18,Age18Plus,Age19Plus,FundingStreamName,FundingApprovalStartDate,ProposedOutcome,RolloverStatus,ExclusionReason,OperationalEndDate,PLDNS,CurrentFundingApprovalEndDate,ProposedFundingApprovalEndDate,Comments
10020007,City & Guilds NPTC Level 2 Certificate of Competence in the Safe Operation of Dumper Trucks,City & Guilds Limited,Level 2,Occupational Qualification,Horticulture and forestry,True,True,12,14,False,True,True,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
10020007,City & Guilds NPTC Level 2 Certificate of Competence in the Safe Operation of Dumper Trucks,City & Guilds Limited,Level 2,Occupational Qualification,Horticulture and forestry,True,True,12,14,False,True,True,True,Age1619,2002/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
10020135,City & Guilds NPTC Level 2 Certificate of Competence in the Safe Use of Plant Machinery,City & Guilds Limited,Level 2,Occupational Qualification,Horticulture and forestry,True,True,12,14,False,True,False,True,Age1619,2002/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
10020135,City & Guilds NPTC Level 2 Certificate of Competence in the Safe Use of Plant Machinery,City & Guilds Limited,Level 2,Occupational Qualification,Horticulture and forestry,True,True,12,14,False,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
10025480,Cambridge OCR Level 3 Free Standing Mathematics Qualification: Additional Maths,Cambridge OCR,Level 3,Other General Qualification,Mathematics and statistics,True,True,60,60,True,True,False,True,Age1416,2002/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
10049150,Ascentis Level 2 Certificate in Psychology ,Ascentis,Level 2,Vocationally-Related Qualification,Science,True,True,102,102,False,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
10049150,Ascentis Level 2 Certificate in Psychology ,Ascentis,Level 2,Vocationally-Related Qualification,Science,True,True,102,102,False,True,False,True,Age1619,2005/02/28,Extended,Extended,,,,2027/07/31,2028/07/31,
10061812,BCS Level 4 Certificate in IT,"BCS, The Chartered Institute for IT",Level 4,Vocationally-Related Qualification,Digital technology (practitioners),True,True,709,734,False,True,True,True,AdvancedLearnerLoans,2021/08/01,Excluded,Excluded,Funding Approval End Date is before the Threshold; Operating End Date is before the Threshold,2026/02/28,2026/12/31,2026/12/31,2026/12/31,
10061903,BCS Level 5 Diploma in IT,"BCS, The Chartered Institute for IT",Level 5,Vocationally-Related Qualification,Digital technology (practitioners),True,True,1042,1086,False,True,True,True,AdvancedLearnerLoans,2021/08/01,Excluded,Excluded,Funding Approval End Date is before the Threshold; Operating End Date is before the Threshold,2026/02/28,2026/12/31,2026/12/31,2026/12/31,
10061915,BCS Level 6 Professional Graduate Diploma in IT,"BCS, The Chartered Institute for IT",Level 6,Vocationally-Related Qualification,Digital technology (practitioners),True,True,1339,1414,False,True,True,True,AdvancedLearnerLoans,2021/08/01,Excluded,Excluded,Funding Approval End Date is before the Threshold; Operating End Date is before the Threshold,2026/02/28,2026/12/31,2026/12/31,2026/12/31,
50012125,VTCT Skills (ITEC) Level 4 Diploma in Laser and Intense Pulsed Light Treatments,VTCT Skills,Level 4,Occupational Qualification,Service enterprises,True,True,200,370,False,False,True,True,Age1619,2006/09/11,Extended,Extended,,,,2027/07/31,2028/07/31,
50014110,Ascentis Level 2 Certificate in Introduction to Principles of Criminology,Ascentis,Level 2,Vocationally-Related Qualification,Sociology and social policy,True,True,60,60,False,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50014110,Ascentis Level 2 Certificate in Introduction to Principles of Criminology,Ascentis,Level 2,Vocationally-Related Qualification,Sociology and social policy,True,True,60,60,False,True,False,True,Age1619,2006/09/26,Extended,Extended,,,,2027/07/31,2028/07/31,
50023706,Pearson Edexcel Level 1 Foundation Project,Pearson Education Ltd,Level 1,Project,Foundations for learning and life,True,True,60,60,True,True,False,True,Age1416,2007/09/01,Extended,Extended,,2029/08/31,,2027/07/31,2028/07/31,
50023718,Pearson Edexcel Level 2 Higher Project,Pearson Education Ltd,Level 2,Project,Foundations for learning and life,True,True,60,60,True,True,False,True,Age1619,2007/09/01,Extended,Extended,,2029/08/31,,2027/07/31,2028/07/31,
50023718,Pearson Edexcel Level 2 Higher Project,Pearson Education Ltd,Level 2,Project,Foundations for learning and life,True,True,60,60,True,True,False,True,Age1416,2007/09/01,Extended,Extended,,2029/08/31,,2027/07/31,2028/07/31,
5002372X,Pearson Edexcel Level 3 Extended Project,Pearson Education Ltd,Level 3,Project,Foundations for learning and life,True,True,120,120,True,True,False,True,Age1619,2007/09/01,Extended,Extended,,2029/08/31,,2027/07/31,2028/07/31,
5002372X,Pearson Edexcel Level 3 Extended Project,Pearson Education Ltd,Level 3,Project,Foundations for learning and life,True,True,120,120,True,True,False,True,Age1416,2007/09/01,Extended,Extended,,2029/08/31,,2027/07/31,2028/07/31,
50034157,IBO Level 3 International Baccalaureate Diploma,International Baccalaureate Organisation,Level 3,Other General Qualification,Foundations for learning and life,True,True,2325,4625,True,True,False,True,Age1416,2008/01/01,Extended,Extended,,2030/12/31,,2027/07/31,2028/07/31,
50034157,IBO Level 3 International Baccalaureate Diploma,International Baccalaureate Organisation,Level 3,Other General Qualification,Foundations for learning and life,True,True,2325,4625,True,True,False,True,Age1619,2008/01/01,Extended,Extended,,2030/12/31,,2027/07/31,2028/07/31,
50034455,CII Level 6 Advanced Diploma in Financial Planning,Chartered Insurance Institute,Level 6,Vocationally-Related Qualification,Accounting and finance,True,True,0,600,False,False,True,True,Age1619,2008/01/14,Extended,Extended,,,,2027/07/31,2028/07/31,
50034753,City & Guilds Level 2 Award in ICT Systems and Principles,City & Guilds Limited,Level 2,Vocationally-Related Qualification,Digital technology (practitioners),True,True,100,120,True,True,False,True,Age1416,2008/01/14,Extended,Extended,,,,2027/07/31,2028/07/31,
50035150,ASDAN Level 2 Certificate in Personal and Social Development,ASDAN,Level 2,Other Life Skills Qualification,Foundations for learning and life,True,True,120,130,True,True,False,True,Age1416,2008/01/28,Extended,Extended,,,,2027/07/31,2028/07/31,
50036063,ASDAN Level 2 Award in Personal and Social Development,ASDAN,Level 2,Other Life Skills Qualification,Foundations for learning and life,True,True,60,80,True,True,False,True,Age1416,2008/04/07,Extended,Extended,,,,2027/07/31,2028/07/31,
50036828,City & Guilds Level 1 Award in Customer Service,City & Guilds Limited,Level 1,Vocationally-Related Qualification,Administration,True,True,30,60,True,True,False,True,Age1416,2008/04/07,Extended,Extended,,,,2027/07/31,2028/07/31,
50036828,City & Guilds Level 1 Award in Customer Service,City & Guilds Limited,Level 1,Vocationally-Related Qualification,Administration,True,True,30,60,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50036828,City & Guilds Level 1 Award in Customer Service,City & Guilds Limited,Level 1,Vocationally-Related Qualification,Administration,True,True,30,60,True,True,False,True,Age1619,2008/04/07,Extended,Extended,,,,2027/07/31,2028/07/31,
50040339,Ascentis Level 1 Certificate in Skills for Employment in the Construction Industries,Ascentis,Level 1,Vocationally-Related Qualification,Building and construction,True,True,240,240,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50040339,Ascentis Level 1 Certificate in Skills for Employment in the Construction Industries,Ascentis,Level 1,Vocationally-Related Qualification,Building and construction,True,True,240,240,True,True,False,True,Age1416,2008/06/16,Extended,Extended,,,,2027/07/31,2028/07/31,
50040339,Ascentis Level 1 Certificate in Skills for Employment in the Construction Industries,Ascentis,Level 1,Vocationally-Related Qualification,Building and construction,True,True,240,240,True,True,False,True,Age1619,2008/06/16,Extended,Extended,,,,2027/07/31,2028/07/31,
50040443,"SEG Awards Level 1 Certificate in Art, Design and Creative Studies ",Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,"Crafts, creative arts and design",True,True,90,130,True,True,False,True,Age1416,2008/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50040686,Ascentis Entry Level Certificate in Skills for Employment in the Construction Industries (Entry 3),Ascentis,Entry Level,Vocationally-Related Qualification,Building and construction,True,True,240,240,True,True,False,True,Age1619,2008/06/30,Extended,Extended,,,,2027/07/31,2028/07/31,
50040686,Ascentis Entry Level Certificate in Skills for Employment in the Construction Industries (Entry 3),Ascentis,Entry Level,Vocationally-Related Qualification,Building and construction,True,True,240,240,True,True,False,True,Age1416,2008/06/30,Extended,Extended,,,,2027/07/31,2028/07/31,
50040686,Ascentis Entry Level Certificate in Skills for Employment in the Construction Industries (Entry 3),Ascentis,Entry Level,Vocationally-Related Qualification,Building and construction,True,True,240,240,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50040856,SEG Awards Level 1 Certificate in Practical Environmental and Conservation Skills,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Environmental conservation,True,True,170,180,True,True,False,True,Age1416,2008/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50042099,SEG Awards Level 1 Diploma in Motor Vehicle Studies,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Transportation operations and maintenance,True,True,380,380,True,True,False,True,Age1416,2008/07/14,Extended,Extended,,,,2027/07/31,2028/07/31,
50042099,SEG Awards Level 1 Diploma in Motor Vehicle Studies,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Transportation operations and maintenance,True,True,380,380,True,True,False,True,Age1619,2008/07/14,Extended,Extended,,,,2027/07/31,2028/07/31,
50042099,SEG Awards Level 1 Diploma in Motor Vehicle Studies,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Transportation operations and maintenance,True,True,380,380,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50042208,SEG Awards Level 1 Certificate in Motor Vehicle Studies ,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Transportation operations and maintenance,True,True,240,240,True,True,False,True,Age1619,2008/07/14,Extended,Extended,,,,2027/07/31,2028/07/31,
50042208,SEG Awards Level 1 Certificate in Motor Vehicle Studies ,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Transportation operations and maintenance,True,True,240,240,True,True,False,True,Age1416,2008/07/14,Extended,Extended,,,,2027/07/31,2028/07/31,
50042208,SEG Awards Level 1 Certificate in Motor Vehicle Studies ,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Transportation operations and maintenance,True,True,240,240,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50042427,SEG Awards Level 1 Award in Motor Vehicle Studies ,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Transportation operations and maintenance,True,True,120,120,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50042427,SEG Awards Level 1 Award in Motor Vehicle Studies ,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Transportation operations and maintenance,True,True,120,120,True,True,False,True,Age1416,2008/07/28,Extended,Extended,,,,2027/07/31,2028/07/31,
50042427,SEG Awards Level 1 Award in Motor Vehicle Studies ,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Transportation operations and maintenance,True,True,120,120,True,True,False,True,Age1619,2008/07/28,Extended,Extended,,,,2027/07/31,2028/07/31,
50043080,SEG Awards Level 1 Award in Fashion and Textiles,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Manufacturing technologies,True,True,120,120,True,True,False,True,Age1416,2008/08/11,Extended,Extended,,,,2027/07/31,2028/07/31,
50043080,SEG Awards Level 1 Award in Fashion and Textiles,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Manufacturing technologies,True,True,120,120,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50043080,SEG Awards Level 1 Award in Fashion and Textiles,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Manufacturing technologies,True,True,120,120,True,True,False,True,Age1619,2008/08/11,Extended,Extended,,,,2027/07/31,2028/07/31,
50043304,SEG Awards Level 1 Certificate in Fashion and Textiles,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Manufacturing technologies,True,True,240,240,True,True,False,True,Age1416,2008/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50043304,SEG Awards Level 1 Certificate in Fashion and Textiles,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Manufacturing technologies,True,True,240,240,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50043304,SEG Awards Level 1 Certificate in Fashion and Textiles,Skills and Education Group Awards,Level 1,Vocationally-Related Qualification,Manufacturing technologies,True,True,240,240,True,True,False,True,Age1619,2008/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50047462,City & Guilds Level 2 Award in Welding Skills ,City & Guilds Limited,Level 2,Vocationally-Related Qualification,Engineering,True,True,60,70,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50047462,City & Guilds Level 2 Award in Welding Skills ,City & Guilds Limited,Level 2,Vocationally-Related Qualification,Engineering,True,True,60,70,True,True,False,True,Age1619,2014/11/01,Extended,Extended,,,,2027/07/31,2028/07/31,
5004767X,City & Guilds Level 1 Award in Book-Keeping and Accounts,City & Guilds Limited,Level 1,Vocationally-Related Qualification,Accounting and finance,True,True,30,30,True,True,False,True,LocalFlexibilities,2016/08/01,Excluded,Excluded,Operating End Date is before the Threshold,2026/08/31,,2027/07/31,2027/07/31,
5004767X,City & Guilds Level 1 Award in Book-Keeping and Accounts,City & Guilds Limited,Level 1,Vocationally-Related Qualification,Accounting and finance,True,True,30,30,True,True,False,True,Age1619,2008/09/08,Excluded,Excluded,Operating End Date is before the Threshold,2026/08/31,,2027/07/31,2027/07/31,
50051076,City & Guilds Level 2 Award in Contact Dermatitis Prevention ,City & Guilds Limited,Level 2,Vocationally-Related Qualification,Service enterprises,True,True,9,10,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50051076,City & Guilds Level 2 Award in Contact Dermatitis Prevention ,City & Guilds Limited,Level 2,Vocationally-Related Qualification,Service enterprises,True,True,9,10,True,True,False,True,Age1416,2008/10/06,Extended,Extended,,,,2027/07/31,2028/07/31,
50051076,City & Guilds Level 2 Award in Contact Dermatitis Prevention ,City & Guilds Limited,Level 2,Vocationally-Related Qualification,Service enterprises,True,True,9,10,True,True,False,True,Age1619,2008/10/06,Extended,Extended,,,,2027/07/31,2028/07/31,
50051866,City & Guilds Level 2 Award in Food Safety in Catering ,City & Guilds Limited,Level 2,Vocationally-Related Qualification,Hospitality and catering,True,True,9,10,True,True,False,True,Age1619,2008/10/20,Extended,Extended,,,,2027/07/31,2028/07/31,
50051866,City & Guilds Level 2 Award in Food Safety in Catering ,City & Guilds Limited,Level 2,Vocationally-Related Qualification,Hospitality and catering,True,True,9,10,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50051866,City & Guilds Level 2 Award in Food Safety in Catering ,City & Guilds Limited,Level 2,Vocationally-Related Qualification,Hospitality and catering,True,True,9,10,True,True,False,True,Age1416,2008/10/20,Extended,Extended,,,,2027/07/31,2028/07/31,
50051969,SEG Awards Level 2 Certificate in Fashion and Textiles,Skills and Education Group Awards,Level 2,Vocationally-Related Qualification,Manufacturing technologies,True,True,200,250,True,True,False,True,Age1619,2008/10/20,Extended,Extended,,,,2027/07/31,2028/07/31,
50051969,SEG Awards Level 2 Certificate in Fashion and Textiles,Skills and Education Group Awards,Level 2,Vocationally-Related Qualification,Manufacturing technologies,True,True,200,250,True,True,False,True,Age1416,2008/10/20,Extended,Extended,,,,2027/07/31,2028/07/31,
50051969,SEG Awards Level 2 Certificate in Fashion and Textiles,Skills and Education Group Awards,Level 2,Vocationally-Related Qualification,Manufacturing technologies,True,True,200,250,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50053267,ASDAN Entry Level Certificate in Personal and Social Development (Entry 3),ASDAN,Entry Level,Other Life Skills Qualification,Foundations for learning and life,True,True,130,130,True,True,False,True,Age1416,2008/10/20,Extended,Extended,,,,2027/07/31,2028/07/31,
50053267,ASDAN Entry Level Certificate in Personal and Social Development (Entry 3),ASDAN,Entry Level,Other Life Skills Qualification,Foundations for learning and life,True,True,130,130,True,True,False,True,Age1619,2008/10/20,Extended,Extended,,,,2027/07/31,2028/07/31,
50053267,ASDAN Entry Level Certificate in Personal and Social Development (Entry 3),ASDAN,Entry Level,Other Life Skills Qualification,Foundations for learning and life,True,True,130,130,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50054594,ASDAN Entry Level Certificate in Personal and Social Development (Entry 2),ASDAN,Entry Level,Other Life Skills Qualification,Foundations for learning and life,True,True,130,130,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50054594,ASDAN Entry Level Certificate in Personal and Social Development (Entry 2),ASDAN,Entry Level,Other Life Skills Qualification,Foundations for learning and life,True,True,130,130,True,True,False,True,Age1619,2008/11/17,Extended,Extended,,,,2027/07/31,2028/07/31,
50054594,ASDAN Entry Level Certificate in Personal and Social Development (Entry 2),ASDAN,Entry Level,Other Life Skills Qualification,Foundations for learning and life,True,True,130,130,True,True,False,True,Age1416,2008/11/17,Extended,Extended,,,,2027/07/31,2028/07/31,
50055574,ASDAN Entry Level Award in Personal and Social Development (Entry 3),ASDAN,Entry Level,Other Life Skills Qualification,Foundations for learning and life,True,True,60,60,True,True,False,True,Age1416,2009/01/26,Extended,Extended,,,,2027/07/31,2028/07/31,
50055574,ASDAN Entry Level Award in Personal and Social Development (Entry 3),ASDAN,Entry Level,Other Life Skills Qualification,Foundations for learning and life,True,True,60,60,True,True,False,True,Age1619,2009/01/26,Extended,Extended,,,,2027/07/31,2028/07/31,
50055574,ASDAN Entry Level Award in Personal and Social Development (Entry 3),ASDAN,Entry Level,Other Life Skills Qualification,Foundations for learning and life,True,True,60,60,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50055586,ASDAN Entry Level Award in Personal and Social Development (Entry 2),ASDAN,Entry Level,Other Life Skills Qualification,Foundations for learning and life,True,True,60,60,True,True,False,True,Age1416,2009/01/26,Extended,Extended,,,,2027/07/31,2028/07/31,
50055598,ASDAN Level 1 Certificate in Personal and Social Development,ASDAN,Level 1,Other Life Skills Qualification,Foundations for learning and life,True,True,120,130,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50055598,ASDAN Level 1 Certificate in Personal and Social Development,ASDAN,Level 1,Other Life Skills Qualification,Foundations for learning and life,True,True,120,130,True,True,False,True,Age1619,2009/01/26,Extended,Extended,,,,2027/07/31,2028/07/31,
50055598,ASDAN Level 1 Certificate in Personal and Social Development,ASDAN,Level 1,Other Life Skills Qualification,Foundations for learning and life,True,True,120,130,True,True,False,True,Age1416,2009/01/26,Extended,Extended,,,,2027/07/31,2028/07/31,
50055604,ASDAN Level 1 Award in Personal and Social Development,ASDAN,Level 1,Other Life Skills Qualification,Foundations for learning and life,True,True,60,80,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50055604,ASDAN Level 1 Award in Personal and Social Development,ASDAN,Level 1,Other Life Skills Qualification,Foundations for learning and life,True,True,60,80,True,True,False,True,Age1619,2009/01/26,Extended,Extended,,,,2027/07/31,2028/07/31,
50055604,ASDAN Level 1 Award in Personal and Social Development,ASDAN,Level 1,Other Life Skills Qualification,Foundations for learning and life,True,True,60,80,True,True,False,True,Age1416,2009/01/26,Extended,Extended,,,,2027/07/31,2028/07/31,
50060703,Signature Level 1 Award in British Sign Language (RQF),Signature,Level 1,Other Vocational Qualification,"Other languages, literature and culture",True,True,64,90,True,True,False,True,LocalFlexibilities,2016/08/01,Excluded,Excluded,Funding Approval End Date is before the Threshold,2028/12/31,2025/07/31,2027/07/31,2027/07/31,
50060703,Signature Level 1 Award in British Sign Language (RQF),Signature,Level 1,Other Vocational Qualification,"Other languages, literature and culture",True,True,64,90,True,True,False,True,Age1619,2009/09/14,Excluded,Excluded,Funding Approval End Date is before the Threshold,2028/12/31,2025/07/31,2027/07/31,2027/07/31,
50060703,Signature Level 1 Award in British Sign Language (RQF),Signature,Level 1,Other Vocational Qualification,"Other languages, literature and culture",True,True,64,90,True,True,False,True,Age1416,2009/09/14,Excluded,Excluded,Funding Approval End Date is before the Threshold,2028/12/31,2025/07/31,2027/07/31,2027/07/31,
50061057,Signature Level 2 Certificate in British Sign Language (RQF),Signature,Level 2,Other Vocational Qualification,"Other languages, literature and culture",True,True,100,150,True,True,True,True,Age1619,2009/09/14,Extended,Extended,,2028/12/31,,2027/07/31,2028/07/31,
50061057,Signature Level 2 Certificate in British Sign Language (RQF),Signature,Level 2,Other Vocational Qualification,"Other languages, literature and culture",True,True,100,150,True,True,True,True,LocalFlexibilities,2016/08/01,Extended,Extended,,2028/12/31,,2027/07/31,2028/07/31,
50061057,Signature Level 2 Certificate in British Sign Language (RQF),Signature,Level 2,Other Vocational Qualification,"Other languages, literature and culture",True,True,100,150,True,True,True,True,Age1416,2009/09/14,Extended,Extended,,2028/12/31,,2027/07/31,2028/07/31,
50061471,EAL Level 2 Award in Industrial Environment Awareness,"Excellence, Achievement & Learning Limited",Level 2,Vocationally-Related Qualification,Engineering,True,True,70,120,False,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50061471,EAL Level 2 Award in Industrial Environment Awareness,"Excellence, Achievement & Learning Limited",Level 2,Vocationally-Related Qualification,Engineering,True,True,70,120,False,True,False,True,Age1619,2010/02/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50061859,GQA PAA\VQ-SET Level 2 NVQ Diploma in Nuclear Decommissioning,GQA Qualifications Limited,Level 2,Occupational Qualification,Engineering,True,True,254,600,False,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50061859,GQA PAA\VQ-SET Level 2 NVQ Diploma in Nuclear Decommissioning,GQA Qualifications Limited,Level 2,Occupational Qualification,Engineering,True,True,254,600,False,True,False,True,Age1619,2010/03/15,Extended,Extended,,,,2027/07/31,2028/07/31,
50062244,City & Guilds  Level 3 Diploma in Work-based Agriculture,City & Guilds Limited,Level 3,Occupational Qualification,Agriculture,True,True,349,570,False,True,False,True,Age1619,2009/09/28,Extended,Extended,,,2027/07/31,2027/07/31,2027/07/31,
50062268,BCS Level 1 Award in IT User Skills (ICDL Essentials) (ITQ),"BCS, The Chartered Institute for IT",Level 1,Vocationally-Related Qualification,Digital technology (users),True,True,61,92,True,True,False,True,Age1416,2009/06/22,Extended,Extended,,,,2027/07/31,2028/07/31,
50062426,BCS Level 2 Certificate in IT User Skills (ICDL Extra) (ITQ) ,"BCS, The Chartered Institute for IT",Level 2,Vocationally-Related Qualification,Digital technology (users),True,True,90,120,True,True,False,True,Age1416,2009/08/17,Extended,Extended,,,,2027/07/31,2028/07/31,
50062554,City & Guilds  Level 3 Diploma in Work-based Horticulture,City & Guilds Limited,Level 3,Occupational Qualification,Horticulture and forestry,True,True,348,570,False,True,False,True,AdvancedLearnerLoans,2016/08/01,Extended,Extended,,,2027/07/31,2027/07/31,2027/07/31,
50062554,City & Guilds  Level 3 Diploma in Work-based Horticulture,City & Guilds Limited,Level 3,Occupational Qualification,Horticulture and forestry,True,True,348,570,False,True,False,True,LegalEntitlementL2L3,2026/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50062554,City & Guilds  Level 3 Diploma in Work-based Horticulture,City & Guilds Limited,Level 3,Occupational Qualification,Horticulture and forestry,True,True,348,570,False,True,False,True,Age1619,2009/08/01,Extended,Extended,,,2027/07/31,2027/07/31,2027/07/31,
5006325X,City & Guilds Entry Level Certificate in an Introduction to the Hair and Beauty Sector (Entry 3) ,City & Guilds Limited,Entry Level,Vocationally-Related Qualification,Service enterprises,True,True,114,130,True,True,False,True,Age1416,2009/07/20,Extended,Extended,,,,2027/07/31,2028/07/31,
5006325X,City & Guilds Entry Level Certificate in an Introduction to the Hair and Beauty Sector (Entry 3) ,City & Guilds Limited,Entry Level,Vocationally-Related Qualification,Service enterprises,True,True,114,130,True,True,False,True,Age1619,2009/07/20,Extended,Extended,,,,2027/07/31,2028/07/31,
5006325X,City & Guilds Entry Level Certificate in an Introduction to the Hair and Beauty Sector (Entry 3) ,City & Guilds Limited,Entry Level,Vocationally-Related Qualification,Service enterprises,True,True,114,130,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50063297,City & Guilds Level 2 Certificate in Customer Service,City & Guilds Limited,Level 2,Vocationally-Related Qualification,Administration,True,True,115,130,True,True,False,True,Age1619,2009/08/17,Extended,Extended,,,,2027/07/31,2028/07/31,
50063297,City & Guilds Level 2 Certificate in Customer Service,City & Guilds Limited,Level 2,Vocationally-Related Qualification,Administration,True,True,115,130,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50063297,City & Guilds Level 2 Certificate in Customer Service,City & Guilds Limited,Level 2,Vocationally-Related Qualification,Administration,True,True,115,130,True,True,False,True,Age1416,2009/08/17,Extended,Extended,,,,2027/07/31,2028/07/31,
50063455,City & Guilds Level 1 Award in an Introduction to the Hair and Beauty Sector ,City & Guilds Limited,Level 1,Vocationally-Related Qualification,Service enterprises,True,True,72,90,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50063455,City & Guilds Level 1 Award in an Introduction to the Hair and Beauty Sector ,City & Guilds Limited,Level 1,Vocationally-Related Qualification,Service enterprises,True,True,72,90,True,True,False,True,Age1416,2009/07/06,Extended,Extended,,,,2027/07/31,2028/07/31,
50063455,City & Guilds Level 1 Award in an Introduction to the Hair and Beauty Sector ,City & Guilds Limited,Level 1,Vocationally-Related Qualification,Service enterprises,True,True,72,90,True,True,False,True,Age1619,2009/07/06,Extended,Extended,,,,2027/07/31,2028/07/31,
50063467,City & Guilds Level 1 Diploma in an Introduction to the Hair and Beauty Sector ,City & Guilds Limited,Level 1,Vocationally-Related Qualification,Service enterprises,True,True,320,380,True,True,False,True,Age1416,2009/07/20,Extended,Extended,,,,2027/07/31,2028/07/31,
50063467,City & Guilds Level 1 Diploma in an Introduction to the Hair and Beauty Sector ,City & Guilds Limited,Level 1,Vocationally-Related Qualification,Service enterprises,True,True,320,380,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50063467,City & Guilds Level 1 Diploma in an Introduction to the Hair and Beauty Sector ,City & Guilds Limited,Level 1,Vocationally-Related Qualification,Service enterprises,True,True,320,380,True,True,False,True,Age1619,2009/07/20,Extended,Extended,,,,2027/07/31,2028/07/31,
50063479,City & Guilds Level 1 Certificate in an Introduction to the Hair and Beauty Sector,City & Guilds Limited,Level 1,Vocationally-Related Qualification,Service enterprises,True,True,129,150,True,True,False,True,LocalFlexibilities,2016/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
50063479,City & Guilds Level 1 Certificate in an Introduction to the Hair and Beauty Sector,City & Guilds Limited,Level 1,Vocationally-Related Qualification,Service enterprises,True,True,129,150,True,True,False,True,Age1416,2009/07/20,Extended,Extended,,,,2027/07/31,2028/07/31,
